countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
PRY,0,0,1,0,0,29780,0,46,56,0,0,20,0,0,225,1,0,0,0,0,0,927,6167,0,0,0,1,0,101,110,454,723,0,0,0,0,0,2,0,0,2,8,720,0,27,3,0,16,0,0,0,601,0,0,3,0,35,0,0,0,0,0,16,0,0,0,0,9,0,0,0,13,0,0,2,0,12,0,0,74,0,0,1,74,241,0,1,3957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,121,23,0,21,0,0,0,0,99,0,0,0,29,680,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,42,2,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3531,0,0,2,8,0,0,0,151,0,0
PYF,0,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,715,0,0,0,0,1,0,166,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,3,0,0
QAT,1,779,0,0,1399,0,0,486,58,0,0,17,1,0,25,3,28,0,0,0,0,2,6,0,1,0,7,21,1516,89,25,7,5,7,2,0,0,0,1,0,46,13,810,0,80,0,142,1,63,0,0,80,0,34,12,0,245,0,3,238,0,4,3,0,0,0,0,123,0,0,0,0,3,0,0,0,28,0,101,77,15,118,1,112,340,0,1408,56,14,52,0,1,27,45,0,831,0,775,0,0,0,1,1,0,0,0,0,0,0,2,5,0,3,0,0,3,13,0,0,0,11,0,0,2,7,0,130,31,38,123,103,7171,1,0,109,0,6,1,0,15,0,0,0,0,63,0,214,9977,0,182,0,2,0,0,0,2,3,1,80,0,0,27,0,0,0,1,0,0,1,48,1,1,0,0,1921,2,0,7,3,0,0,13567,398,2,15
REU,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,149,0,0
RUS,9,15693,464,0,114,0,0,117,843,11,0,105,127,101,55,9,6,0,0,9,0,0,4,0,0,0,17,124,466,310,18,7,516,11,36,1,0,10,0,0,95,236,22398,0,160,0,16,2,3,0,20,632,10,15,97,0,375,0,75,465,0,5,779,0,5,1,28,472,0,0,0,0,1,0,61,0,253,259,7,215,850,72,2,1054,430,0,618,48,471,2,3,7,8,0,0,891,1,105,0,0,0,0,13,58,0,0,56,2,1,22,19,48,4,0,0,5,3,0,3,17,21,128,16,46,78,0,321,73,11,43,27,357,2,0,45,0,2,0,0,386,0,0,1,12,0,0,12,537,11,16,0,3,0,0,1,0,971,3,521,0,0,100,1,0,0,14,0,0,1,24,2,1,0,0,1392,57,0,12,3,0,1,1014,716,15,0
RWA,1,0,2020,0,162,23,0,923,585,0,272927,2090,11,0,325,26,10,2,0,1,0,11,62,1,0,0,443,112,6372,2513,46,28,0,103,18627,20,45,4,5,0,49,65,4236,0,504,13,3,24,82,2266,0,2028,1,366,113,0,10272,0,454,12729,0,1033,170,1,0,2,35,483,0,0,19,2,146,2,28,2,219,0,45,282,0,0,6,941,1504,3,57,106,0,20487,0,4,33,1,0,19,10,27,0,0,30,3,368,7,9,0,1,61,2,153,0,14,20,0,0,996,11,1,58,7457,26,0,33,0,2,0,2059,368,18,363,41,72,7,302,210,1,44,63,2,666,9,4,2,171,494,0,18,8819,35,54,0,4,0,0,701,7,33,31,659,127,0,17,6407,0,0,0,0,3,0,277,236306,356334,0,0,4897,0,1,26,22,0,1,0,10120,11817,2231
SAU,0,14012,0,0,7293,44,0,1957,893,6,0,60,15,8,681,10,149,1,0,0,0,0,65,1,8,0,39,550,12276,511,48,27,120,159,43,6,0,1,3,0,229,46,13420,0,732,12,1801,17,148,0,0,1007,0,779,194,0,1722,0,71,1505,0,47,1241,2,0,0,1,1684,0,0,0,0,4,0,0,0,170,0,1151,927,171,3268,5,1910,3197,0,31541,488,276,828,0,5,249,88,0,20982,1,11569,0,1,5,2,1,4,0,213,2,0,0,21,128,5,26,0,0,36,183,3,0,0,97,0,5,47,156,0,1888,219,389,381,846,70070,27,0,403,0,8,9,3,133,7,0,76,0,22,0,0,187302,639,1990,0,24,0,0,1,0,23,10,1277,0,9,493,3,0,0,10,0,1,13,1567,8,10,0,0,18038,29,0,543,53,0,0,350688,1918,4,31
SDN,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,0,0,0,0,0,0,0,0,0,0,0,0,328,682,0,0,0,0,0,0,0,0,0,0,0,0,0,147,64,0,0,0,5315,0,463,0,0,95,0,0,0,0,6,0,1,0,0,0,0,0,25,106,0,0,0,0,0,0,746,0,0,10,49857,0,12622,831,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,234,1466,0,3,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,72,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,95,7,0
SGP,0,0,0,0,0,1,0,11415,85,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,144,0,0,0,3333,346,27,48,0,0,0,2,0,0,0,0,6,4,519,0,144,6,33,4,17,0,0,0,0,0,24,0,465,0,0,11082,0,0,0,0,0,0,0,19,0,0,0,0,1740,0,0,0,20,0,667,119,0,0,4,0,97,0,0,577,0,0,0,98,0,0,0,0,0,196,0,3,0,0,4,1,0,0,0,0,0,19,0,0,5,0,0,0,0,0,10,0,12340,0,0,0,0,0,925,125,0,1469,0,0,8,0,62,0,7,0,0,188,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,2,193,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,6206,0,0,5,125,0,0,0,340,0,0
