countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
PRK,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,3,0,0,0,0,0,7,18,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,25924,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0
PRT,0,0,6105,3,1,0,0,25,30,0,221,519,0,0,0,4,8,0,0,0,0,0,3,0,0,0,8,6,125,1780,0,48,0,0,339,4,0,2,0,0,1,53,524,0,41,0,3,10,2,0,0,5548,0,0,75,0,1396,0,0,2049,0,0,0,0,0,0,0,42,0,0,0,0,1,0,3,0,17,0,0,19,0,0,16,0,335,0,3,0,4,2,0,0,0,0,0,1,10,1,0,0,1,2,493,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,82,85,0,2,0,0,1,0,0,0,25,0,0,0,0,0,2,0,62,34,0,0,0,53,0,0,0,0,0,0,3,3,93,1,4,15,0,2,0,0,0,0,0,12,70,69,3,0,116,0,0,12,2,0,0,0,848,3,0
PRY,0,0,0,0,0,46140,0,0,18,0,0,4,0,0,0,2,0,0,0,1,0,229,0,0,0,0,0,0,929,207,1,0,0,0,0,22,0,0,0,0,2,26,119,0,5,0,0,121,0,0,0,35520,0,0,4,0,60,0,0,24,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,817,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,1,0,0,14,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,27,0,0,0,0,0,0,0,0,0,0,2,0,0,15,64,0,0,0,4,0,0,0,0,10,0,0
PYF,0,0,0,0,19,1,0,244,6,0,1,15,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,5,61,18,0,0,0,2,15,9,0,0,0,0,1,2,13,0,2,0,1,18,1,0,0,35,0,0,2,0,136,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,73,101,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,3,0,0,0,331,0,0,0,2,4,0,51,0,0,2,0,5,0,13,0,0,4,1,0,5,24,7,1,0,0,0,0,2,0,0,0,0,3,2,0,5,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,5,0,0,1,0,38,0,0,18,0,0
QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REU,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,49,4,0,0,0,0,0,1,188,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,0,0,1,0,3312,0,0,6,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,117,0,0
RUS,0,0,22,25,14,3,0,157,48,5,23,1327,0,0,11,1965,39,0,0,5149,0,5,11,0,0,4,2,0,94,893,1,96,0,0,83,11,2,37,0,0,319,7601,710,0,142,0,140,66,9,1,41,5669,1319,0,57,0,2230,0,2,1004,0,1,0,4,0,0,3,62,0,1,1,0,0,0,4,0,317,0,15,10,0,0,36,70,8101,0,18,0,47262,0,0,0,0,0,0,5,49,2,6,0,0,18,25,25,0,0,0,0,0,1,5,0,36,0,0,0,0,12,0,0,1,0,1,0,1,0,1184,1895,0,58,0,0,2,0,14,0,46,0,11,465,0,1,34,0,0,1,0,0,0,9,0,1,0,0,0,0,352,60,1855,0,0,0,1,0,0,0,0,0,0,413,0,9,70444,0,181,1,0,2,15,7,0,0,129,0,0
RWA,0,0,142,0,0,0,0,53,0,0,6116,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,28,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,57,0
SAU,0,0,0,6,49449,11,2,11322,1810,76,0,112,0,0,277,111,9698,1,0,0,1,24,260,4,1,0,17,77,9880,1335,31,44,0,0,25,63,0,0,5,1,326,213,5827,6,478,16,8294,139,7347,0,0,980,0,0,385,1,4436,0,3,1630,18,12,0,0,0,0,0,216,0,15,0,1,6,1,1,0,308,13,525,296,98,454,7,1783,2963,4,5103,40,4890,146,56,0,49,664,0,669,0,9489,1,0,0,20,4,13,0,420,11,2,0,112,404,0,21,0,4,0,327,0,3,0,1,0,1,0,39,2,960,757,0,778,88,0,15,7,79,0,380,0,2,33,10,0,18064,0,339,1,0,0,197,21,0,0,1,0,0,0,56,14,2444,0,10,0,3,8,0,60,0,1,3,3497,8,24,0,1,36710,344,1,708,64,0,0,301,999,0,0
SDN,0,0,21,2,83057,1,0,10289,352,0,2452,66,5,1,5,26,10535,1,0,0,0,3,27,0,0,0,8,155,8607,4957,3,0,0,137,868,7,0,2,0,1,145,66,5127,107,526,2,2363,6,2958,59024,0,648,0,3474,274,0,3118,0,25,14135,0,20,0,0,0,0,1,634,0,0,0,0,18,0,0,0,91,0,1,229,0,585,11,10485,11716,0,662,28,1,1046,0,0,15,7509,0,0,19,3996,0,0,0,2,1,3,3,436,0,2,0,3,7,0,19,1,0,0,24,0,3,0,1,0,0,20,31,1,2082,4815,2,289,9,0,3,0,13,0,89,0,0,12,0,0,20973,0,101,3285,40161,0,2,13,0,1,0,122,261,1,10,11,8751,3,249,61431,4,4,0,0,0,0,2,157,61,8169,0,0,40912,0,0,15,13,0,0,4275,2090,1,0
